experiment,step,stale_tail,row_count,group_count,valid_rate,valid_group_rate,request_error_rate,direct_valid,focal_valid,final_valid,objective_valid,subjective_valid,ui_spatial_score,color_harmony_and_theme_fit,typography_rhythm_and_readability,first_view_content_messaging,ui_weight,subjective_weight,max_weight_mean,top1_same_rate,spearman_mean,z_sign_flip_rate,direct_group_var_mean,focal_group_var_mean,status_counts
baseline_a11y_Qwen3-1.7B-Base,27,0,512,64,0.974609375,1.0,0.0,6.230115339770457,2.725004968396763,6.230115339770457,8.90567905811623,0.0,5.458917835671344,0.0,0.0,0.0,0.060606452656474845,0.0,0.060606452656474845,0.78125,0.8549376754602072,0.14228456913827656,0.8195737105411164,1.2259702019323218,"{""llm_generation_error"": 14, ""parse_fail"": 3, ""render_engine_error"": 10, ""success"": 485}"
baseline_v3_Qwen3-1.7B-Base,136,0,512,64,0.9921875,1.0,0.0,9.12961504811898,7.827455879069545,9.12961504811898,9.63254593175853,0.0,7.79527559055118,0.0,0.0,0.0,0.33991414111532214,0.21624256523938745,0.4348787149679476,0.90625,0.9271063884613787,0.09055118110236221,0.08686312321916291,0.5557689674172005,"{""parse_fail"": 4, ""success"": 508}"
baseline_v3_Qwen3-1.7B-Base,137,0,512,64,0.994140625,1.0,0.0,9.10433156516046,7.727478916943118,9.10433156516046,9.606792043222004,0.0,7.724950884086445,0.0,0.0,0.0,0.3445365675168589,0.21438222740022073,0.45553046813887615,0.890625,0.9531264134858674,0.07465618860510806,0.18690248037406051,0.7569338762364345,"{""llm_generation_error"": 2, ""parse_fail"": 3, ""success"": 507}"
baseline_v3_Qwen3-1.7B-Base,138,0,512,64,0.966796875,1.0,0.0,9.12509539842873,7.826540237901201,9.12509539842873,9.655892255892256,0.0,7.935353535353541,0.0,0.0,0.0,0.3089435029291864,0.22587912685639377,0.4187334042651595,0.890625,0.955655167807485,0.08282828282828283,0.08910725453536614,0.6354138330159039,"{""parse_fail"": 3, ""render_engine_error"": 14, ""success"": 495}"
baseline_v3_Qwen3-1.7B-Base,139,0,512,64,0.982421875,1.0,0.0,9.090309432295117,7.691956510530629,9.090309432295117,9.622674221338636,0.0,7.753479125248508,0.0,0.0,0.0,0.3506980131412591,0.21222311185398582,0.45046217824583035,0.859375,0.9487943503766795,0.08349900596421471,0.13309881709586424,0.8799558878795638,"{""parse_fail"": 5, ""render_engine_error"": 4, ""success"": 503}"
baseline_v3_Qwen3-1.7B-Base,140,0,512,64,0.990234375,1.0,0.0,9.12524654832346,7.80343782138407,9.12524654832346,9.64431295200526,0.0,7.86587771203156,0.0,0.0,0.0,0.31758951964744764,0.22348502724625566,0.4377156098097765,0.90625,0.9388339821612807,0.10650887573964497,0.1290548626858151,0.81455034765956,"{""render_engine_error"": 5, ""success"": 507}"
baseline_v3_n16_0422_Qwen3-1.7B-Base,102,0,1024,64,0.970703125,1.0,0.0,9.11210110663983,7.760452541444891,9.11210110663983,9.645079896042926,0.0,7.8853118712273735,0.0,0.0,0.0,0.29746011194990096,0.23040374670023855,0.4488461854788004,0.859375,0.9525907221037512,0.08450704225352113,0.11702537687035955,0.7785975421877799,"{""parse_fail"": 8, ""render_engine_error"": 22, ""success"": 994}"
baseline_v3_n16_0422_Qwen3-1.7B-Base,103,0,1024,64,0.9873046875,1.0,0.0,9.140566864490603,7.857774273943961,9.140566864490603,9.632792268381143,0.0,7.800197823936697,0.0,0.0,0.0,0.34756211556299405,0.21339155729237036,0.43621196632281606,0.875,0.9579243229382682,0.0751730959446093,0.11283973411142875,0.7016334079366265,"{""parse_fail"": 4, ""render_engine_error"": 9, ""success"": 1011}"
baseline_v3_n16_0422_Qwen3-1.7B-Base,104,0,1024,64,0.9775390625,1.0,0.0,9.138886646686656,7.896558597648332,9.138886646686656,9.64592570762571,0.0,7.908091908091918,0.0,0.0,0.0,0.3123067883042695,0.22497406114401278,0.40608450704007865,0.921875,0.9659075543720291,0.08591408591408592,0.13307368329899807,0.6837168068162651,"{""llm_generation_error"": 1, ""parse_fail"": 15, ""render_engine_error"": 8, ""success"": 1000}"
baseline_v3_n16_0422_Qwen3-1.7B-Base,105,0,1024,64,0.9521484375,1.0,0.0,9.132277413105397,7.823499246490291,9.132277413105397,9.642228085470087,0.0,7.8748717948717974,0.0,0.0,0.0,0.3157027604148062,0.22404821864672564,0.4367302503810292,0.921875,0.9653442475978526,0.08102564102564103,0.08636769023001058,0.5982947465828974,"{""parse_fail"": 16, ""render_engine_error"": 33, ""success"": 975}"
