experiment,step,stale_tail,row_count,group_count,valid_rate,valid_group_rate,request_error_rate,direct_valid,focal_valid,final_valid,objective_valid,subjective_valid,ui_spatial_score,color_harmony_and_theme_fit,typography_rhythm_and_readability,first_view_content_messaging,ui_weight,subjective_weight,max_weight_mean,top1_same_rate,spearman_mean,z_sign_flip_rate,direct_group_var_mean,focal_group_var_mean,status_counts
baseline_v3_n16_3e-6_Qwen3-4B,44,0,1024,64,0.9794921875,1.0,0.0,9.35695136811789,8.209569278914783,9.35695136811789,9.759388501163178,8.552077102027253,8.556331006979063,8.498105682951147,8.585643070787638,8.572482552342972,0.36311341273109904,0.21229552908963353,0.6740681868154675,0.9375,0.9365127996437205,0.15154536390827517,0.09391932965759882,0.9055070411661208,"{""parse_fail"": 21, ""success"": 1003}"
focal_v3_n16_e0_t1_g5_3e-6_Qwen3-4B,35,0,1024,64,0.984375,1.0,0.0,9.224339925044097,7.93473777006819,7.93473777006819,9.692065443121693,8.28888888888889,8.234126984126984,8.232936507936508,8.373809523809523,8.259920634920634,0.2682571844067584,0.243905209466468,0.5872440638262101,0.90625,0.884540831583952,0.14087301587301587,0.09541088393285198,0.7175958754805302,"{""parse_fail"": 15, ""render_engine_error"": 1, ""success"": 1008}"
focal_v3_n16_e0_t1_g5_3e-6_Qwen3-4B,36,0,1024,64,0.9833984375,1.0,0.0,9.20207439037847,7.977788803005092,7.977788803005092,9.693677623303541,8.218867924528302,8.252234359483614,8.180337636544191,8.307944389275075,8.16832174776564,0.22414823667667583,0.258616032363082,0.5234445615161347,0.9375,0.922898317631648,0.13505461767626614,0.1539534343760629,0.9915177660432377,"{""parse_fail"": 17, ""success"": 1007}"
focal_v3_n16_e0_t1_g5_3e-6_Qwen3-4B,37,0,1024,64,0.9892578125,1.0,0.0,9.202288395305484,7.962665948429,7.962665948429,9.691997910496873,8.222869364922671,8.250740375123396,8.138203356367226,8.321125370187563,8.209279368213227,0.24537848646900998,0.251537614111565,0.5244125302204625,0.953125,0.9159871991694108,0.14116485686080948,0.1446801209898554,1.0005055898727995,"{""parse_fail"": 11, ""success"": 1013}"
focal_v3_n16_e0_t1_g5_3e-6_Qwen3-4B,38,0,1024,64,0.9716796875,1.0,0.0,9.279078637632617,8.190990012355124,8.190990012355124,9.695787135678392,8.445661641541038,8.347738693467337,8.470854271356783,8.41467336683417,8.451457286432161,0.2887262876581954,0.2370546663184805,0.5259281895946175,0.953125,0.9189070578501022,0.14271356783919598,0.10546114349210461,0.7050552407487111,"{""parse_fail"": 27, ""render_engine_error"": 2, ""success"": 995}"
focal_v3_n16_e0_t1_g5_3e-6_Qwen3-4B,39,0,1024,64,0.9775390625,1.0,0.0,9.241610200910204,8.046346127071581,8.046346127071581,9.661616100566102,8.4015984015984,8.0999000999001,8.379420579420579,8.390609390609391,8.434765234765235,0.3749742653915792,0.2083333880435291,0.5528953910783923,0.953125,0.9317805266661808,0.12487512487512488,0.1624726330851163,0.9164585531919677,"{""llm_generation_error"": 1, ""parse_fail"": 18, ""render_engine_error"": 5, ""success"": 1000}"
baseline_v3_n16_3e-6_4k_Qwen3-4B,42,0,1024,64,0.9765625,1.0,0.0,9.278833333333354,8.028928494323035,9.278833333333354,9.752,8.332500000000001,8.512,8.3523,8.388200000000001,8.257,0.24852031665050964,0.2504932277831637,0.6329138814264295,0.90625,0.9214274940989067,0.145,0.1671631359842437,1.339138637614704,"{""parse_fail"": 17, ""render_engine_error"": 7, ""success"": 1000}"
baseline_v3_n16_3e-6_4k_Qwen3-4B,43,0,1024,64,0.9716796875,1.0,0.0,9.311803461753241,8.118125207448974,9.311803461753241,9.757788944723618,8.419832495812395,8.546733668341709,8.460100502512562,8.451155778894474,8.348241206030151,0.2478291279236612,0.2507236240254463,0.6481429921572539,0.921875,0.9183762953046075,0.1527638190954774,0.13880928782146656,1.1688941043065053,"{""parse_fail"": 28, ""render_engine_error"": 1, ""success"": 995}"
baseline_v3_n16_3e-6_4k_Qwen3-4B,44,0,1024,64,0.96484375,1.0,0.0,9.295040485829976,8.024001019610754,9.295040485829976,9.744601889338732,8.395917678812415,8.46761133603239,8.386842105263158,8.423380566801619,8.37753036437247,0.2727800057857306,0.2424066647380896,0.6796715211869897,0.9375,0.9354985498969028,0.13663967611336034,0.11626474608647056,1.0485743549799285,"{""parse_fail"": 27, ""render_engine_error"": 9, ""success"": 988}"
baseline_v3_n16_3e-6_4k_Qwen3-4B,45,0,1024,64,0.9697265625,1.0,0.0,9.34546268322706,8.191766614601917,9.34546268322706,9.765021819402484,8.506344410876133,8.590130916414905,8.487411883182276,8.503927492447131,8.527693856998994,0.29539886313119185,0.2348670456229364,0.6731505937135467,0.953125,0.9385979102376875,0.1470292044310171,0.07496599119505604,0.8322630403149757,"{""parse_fail"": 17, ""render_engine_error"": 14, ""success"": 993}"
