step,temperature,gamma,epsilon,group_count,row_count,normalized_kendall_distance_mean,normalized_kendall_distance_p90,spearman_rank_corr_mean,spearman_rank_corr_p90,z_advantage_corr_mean,z_advantage_corr_p90,z_advantage_sign_flip_rate_mean,z_advantage_sign_flip_rate_p90,mean_abs_z_advantage_delta_mean,mean_abs_z_advantage_delta_p90,top1_same_rate_mean,top1_same_rate_p90
1,0.1,1.5,0.0,64,1024,0.12135416666666667,0.1625,0.8721063471685548,0.9643850267379679,0.9181005314936914,0.9620637142827642,0.173828125,0.2937500000000002,0.3141701189864671,0.431653735737724,0.5,1.0
1,0.1,1.5,0.01,64,1024,0.11901041666666666,0.1625,0.8756141798596306,0.9658781230694949,0.9199407081395542,0.9627448434059085,0.1708984375,0.2937500000000002,0.3104400547056747,0.42552168808592283,0.5,1.0
1,0.1,1.5,0.02,64,1024,0.11731770833333334,0.1625,0.8790741264027939,0.9667872139785859,0.9222495763503699,0.9638205765120689,0.169921875,0.25,0.3056587921956303,0.41903846708621373,0.515625,1.0
1,0.1,1.5,0.05,64,1024,0.11341145833333334,0.16000000000000003,0.8848379230133611,0.9674046043101503,0.9299169601138355,0.9677993158536595,0.1650390625,0.25,0.2892474763476499,0.39766448022427836,0.53125,1.0
1,0.1,1.5,0.1,64,1024,0.10651041666666666,0.15291666666666667,0.8940396788386209,0.9734108867427569,0.942094277024901,0.9747890156152443,0.1533203125,0.25,0.26127980361496383,0.36329521376369966,0.5625,1.0
1,0.1,1.5,0.2,64,1024,0.09088541666666666,0.13333333333333333,0.9152907129294956,0.9838688330018363,0.9602129465297694,0.9842329582852786,0.1220703125,0.25,0.21417647450451552,0.30522282644482035,0.609375,1.0
1,0.1,2.0,0.0,64,1024,0.13014322916666668,0.19041666666666668,0.8576672788198947,0.9628285099770996,0.9062760553875908,0.9581364931726365,0.1787109375,0.3125,0.3360208304672517,0.47426582088543656,0.5,1.0
1,0.1,2.0,0.01,64,1024,0.12890625,0.19041666666666668,0.8594167813207398,0.9631413520983416,0.9076750841450935,0.9587639547230304,0.1787109375,0.3125,0.33343205317061336,0.46970755666531616,0.5,1.0
1,0.1,2.0,0.02,64,1024,0.128125,0.19041666666666668,0.8609224707921791,0.9631413520983416,0.9092422761403848,0.9603025049912804,0.1767578125,0.3125,0.3304805314875982,0.46496837614082237,0.5,1.0
1,0.1,2.0,0.05,64,1024,0.12513020833333333,0.18500000000000003,0.8662135306922729,0.9631413520983416,0.9146217266916958,0.9630490571280517,0.171875,0.3125,0.3200504182684876,0.4514313818691117,0.5,1.0
1,0.1,2.0,0.1,64,1024,0.11731770833333334,0.16541666666666668,0.8785535874406325,0.9670665885068142,0.9244645118494083,0.9676782985630185,0.166015625,0.25,0.2999571223259942,0.4314727942541063,0.515625,1.0
1,0.1,2.0,0.2,64,1024,0.10546875,0.14583333333333334,0.8959195811835106,0.9734108867427569,0.9425457636231935,0.9766011228436897,0.1513671875,0.25,0.25924905943058185,0.37362001141192924,0.578125,1.0
1,0.1,2.5,0.0,64,1024,0.13951822916666667,0.22916666666666666,0.8426930255092584,0.9579752683788557,0.8945070899653093,0.9564154815309088,0.1865234375,0.3125,0.356215440185251,0.5138901126049428,0.453125,1.0
1,0.1,2.5,0.01,64,1024,0.137890625,0.22375,0.8446068164153203,0.9606112272229744,0.8959870833581394,0.9566287877797034,0.1865234375,0.3125,0.3536918379756826,0.5115839449827921,0.46875,1.0
1,0.1,2.5,0.02,64,1024,0.13736979166666666,0.22125000000000003,0.8455325704505315,0.9606112272229744,0.8974788934729847,0.9568821030924565,0.185546875,0.3125,0.35112199229496943,0.5091527636209403,0.484375,1.0
1,0.1,2.5,0.05,64,1024,0.133984375,0.21541666666666667,0.8509425693246593,0.9619640704592234,0.902144731546253,0.9579398224286478,0.1826171875,0.3125,0.3427316335685644,0.5010361083057462,0.5,1.0
1,0.1,2.5,0.1,64,1024,0.12877604166666667,0.19458333333333336,0.8601236018306656,0.9631413520983416,0.9104793994495333,0.9633061764200606,0.1748046875,0.3125,0.3269782433881112,0.4776128051743138,0.515625,1.0
1,0.1,2.5,0.2,64,1024,0.11666666666666667,0.1766666666666667,0.8801050927542872,0.967502194907814,0.9271856119262403,0.9710381927114523,0.166015625,0.2937500000000002,0.2931157604257647,0.424733232317623,0.546875,1.0
1,0.1,3.0,0.0,64,1024,0.14407552083333333,0.24333333333333335,0.8351142135580133,0.9570226724984381,0.8831523477944615,0.9553777475320544,0.1923828125,0.3125,0.3744625302687375,0.5318689137675369,0.421875,1.0
1,0.1,3.0,0.01,64,1024,0.143359375,0.24333333333333335,0.8356087256009078,0.9570226724984381,0.8847554475943938,0.9557438218793148,0.1923828125,0.3125,0.371892012847776,0.5279524634441918,0.421875,1.0
1,0.1,3.0,0.02,64,1024,0.14231770833333335,0.24041666666666667,0.8367913638500265,0.9570226724984381,0.8863233455598096,0.9560983095236134,0.1923828125,0.3125,0.3693277456701856,0.5248211680795272,0.4375,1.0
1,0.1,3.0,0.05,64,1024,0.13919270833333333,0.23500000000000001,0.842146995860875,0.9606112272229744,0.8909381015462086,0.9565442888042351,0.189453125,0.3125,0.36155742952771236,0.5185303143594108,0.453125,1.0
1,0.1,3.0,0.1,64,1024,0.13658854166666667,0.22916666666666666,0.846863663984877,0.9606112272229744,0.8986398157722825,0.9579574378528729,0.185546875,0.3125,0.34804495019645326,0.5069986677208472,0.46875,1.0
1,0.1,3.0,0.2,64,1024,0.12630208333333334,0.19875,0.8644678853247671,0.9643850267379679,0.9140607930288103,0.9668248068229796,0.1728515625,0.3125,0.31906935849883294,0.4806965675299383,0.515625,1.0
1,0.1,3.5,0.0,64,1024,0.15,0.2529166666666667,0.8230291227022464,0.9541288042041082,0.8724406549236388,0.9533400903088762,0.1943359375,0.3125,0.3905809347321746,0.5551879824515176,0.375,1.0
